skill_name,skill_tag_code
Database Management,24571
.Net,583
2d Animation,23632
2D layout,178
3D animation,267
3D autocad,268
3D blender,269
3D Design,266
3D illustration,270
3D modeling,271
3D presentation,177
3D unity,272
3DS Max,30124
98.css,543
AB Testing,113
Abap,593
Ableton Live,332
Academic Writing,33603
Accelo,18
Accent R,594
Account Acquisition,362
Account Management,23970
Account Retention,363
Accounting,1
Accounting,233
Accounting Management,185
Accounts Payable,8
Accounts Receivable,2
Accounts Reconciliations,3
Accuracy Verification,24001
Aconex,48413
Acoustica,330
Acquisition,234
Acquisition Management,187
Active Campaign,27628
Active Directory,30020
Active Listening,21863
Acumatica,30797
Adaptability,22335
Admin Data Processing,371
Administrative Management,189
Administrative Support,22336
Adobe,273
Adobe Audition Cc,325
Adobe Premiere Elements,321
Adobe Premiere Pro,313
Adobe XD,302
Adonis JS,491
Ads Creation,114
Ads Management,108
Advertising,97
Advertising And Marketing Design,286
Advertising Management,188
Affiliate Marketing,59
After Effects,274
Agile Methodology,25316
Agility CMS,454
Ahrefs,118
AI Automation,48417
AI Tools,31798
Airbnb,262
Airtable,209
Alpine.js,48418
Alteryx,29580
Amadeus,23389
Amadeus Pro,333
Amazon,130
Amazon,345
Amazon Ads,100
Amazon PPC,25319
Analysis,10
Analysis,235
Analytical,25566
Analytics,150
Analytics,743
Analytics - Amazon Athena,676
Analytics - Amazon CloudSearch,677
Analytics - Amazon EMR,678
Analytics - Data Explorer,705
Analytics - Data Factory,706
Analytics - Data Lake Analytics,709
Analytics - Data Lake Storage,707
Analytics - Event Hubs,708
Anaplan,31728
Android Development,796
Angular JS,474
Animation,308
Annotating,24002
Anow,236
Ansible,615
Apache,667
Apache Airflow,34511
Apache Kafka,651
API Development,630
API Integration,48412
API Testing,25072
Apollo,634
Appfolio,210
Appian,34522
Apple Final Cut Pro,314
Apple Imovie,315
Applicant Tracking Systems,28243
Application Performance Management,653
Applied Epic,48411
Appointment Setting,237
Appointment Setting,23600
Appraisal,238
Apps Script,48409
APPSHEET,27627
Apptivo,29
ArcGIS,30470
Archicad,25320
Architectural Services,174
Arduino,27629
Art & Comic Design,283
Article Writing,68
Article Writing,239
Artificial Intelligence,48419
Asana,207
ASP.NET,794
Atlassian,205
Attention to Detail,22214
Audacity,327
Audience Analysis,111
Audience Engagement,25317
Audio Editing,324
Audiotool,329
Auditing,151
Aurora Solar,30798
Auto Cad,175
Autocad,23388
Autodesk Fusion 360,48415
Autodesk Inventor,48416
Autodesk Maya,30022
Avaya CMS,48408
Aviation,48410
AWS,675
AWS Lambda,32357
awsm.css,522
Azure,704
B2B,347
B2C,23461
Back Office Support,38080
Backbone JS,479
Backlinks Management,124
Bank Reconciliation,23394
Banking,22337
Base,532
Basecamp,202
Bash,606
Benchmark Email,46
BGL360,35155
BI,601
Big Data,737
Bigcommerce,163
Bigcommerce,562
Bigquery,600
Billing,23392
Bing Ads,774
BitBucket,48420
Blackfire,658
BlackLine,39091
Blaze UI,531
Blazor,27631
Blockchain,744
Blogging,69
Bloomreach,460
Bluebeam,35494
Bluebeam Revu,25321
Bojler,546
Bolt,429
Bookkeeping,12
Bookkeeping,240
Boolean Search,23393
Bootstrap,483
Bootstrap,502
Bottle,556
Bourbon,548
Bpo Operations Management,192
Brand Analysis,147
Brand Management,148
Branding,31337
